주종,주류명,생산국가,용량,도수,특징
위스키,글렌파클라스 21년,영국,700,43,
위스키,글렌파클라스10년,영국,700,40,
위스키,글렌파클라스12년,영국,700,43,
위스키,글렌파클라스25년,영국,700,43,
위스키,글렌파클라스30년,영국,700,43,
위스키,글렌피딕,영국,700      ,43      ,
위스키,글렌피딕 50년,영국,700,46.1,"글렌피딕 역사상 두번째 50년산, 왁스를 이용해 일일이 손으로 기록한 개별넘버, 스코티쉬 빌버 수공장식. 핸드메이드 가죽&실버장식의 케이스, 각부분 담당 마스터들의 자필서명 보증서. 전세계 총 50병 생산(50YO)"
위스키,글렌피딕 VR 1961,영국,700,43.8,"1961년 9월 30일에 숙성을시작, 2009년 10월 19일병입된  한정판. 데이비드 스튜어트 이후 글렌피딕 몰트마스터 '브라이언 킨스만'이 샐렉팅한 제품. 전세계 총 56병 생산(47YO)"
위스키,글렌피딕 VR 40년,영국,700,45.8,"한 해의 세계양대주류 품평회에서 모두 최고의 트로피를 받은 유일한 위스키.그랜피딕에 다섯번째 40년 산제품.송아지 가죽과 손으로 세공된 구리 장식 케이스,증류소 장인 4명의 자필 서명이 담긴 테스팅 노트 구성.전세계 600병 생산 800"
위스키,글렌피딕12년,영국,700      ,40,"배 맛이 감도는 신선하고 상쾌한 향이 특징임 전 세계 싱글 몰트 위스키 마켓의 리더로서 시장을 이끌어 나가고 있는 글렌피딕은 골짜기를 뜻하는 ‘글렌’과 사슴을 뜻하는 ‘피딕’의 합성어로, 1887년 크리스마스에 스코틀랜드 스페이사이드 지역에 위치한 글렌피딕 증류소에서 탄생하였다. 최고의 위스키를 제조하고자 했던 설립자 윌리엄 그랜트의 꿈이 이루어 낸 글렌피딕은 1887년 첫 증류 이래로 지금까지 전통적인 생산 방식을 고수하고 있다.6​원액 숙성 통인 오크 통을 만드는 제작 기술자부터 증류, 숙성, 병입의 전 과정을 책임지는 몰트 마스터까지 수십 명의 전문가들이 장인 정신에 입각하여 전통적인 방식으로 글렌피딕을 생산하고 있다. 청정수인 ‘로비듀’와 선별된 최고급 맥아는 다른 위스키에서는 느낄 수 없는 풍부하고 개성 있는 맛과 향을 창조해 낸다. 이러한 노력들로 글렌피딕은 현재 전 세계 200여 개 국가에서 가장 사랑받는 싱글 몰트 위스키로 자리 잡았다."
